Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,formation_energy_per_atom
5.6,91.4,10.895244000000002,53.686,7.2,1.6,52.2,2.64,1.4,1.8,0.0,0.0,3.2,0.6,0.6,0.0,0.0,1.2,10.6895,5.210399999999999,0.0,131.6,-1.2341634520740001
27.142857142857142,64.42857142857143,63.931316114285714,153.32,11.714285714285714,3.4285714285714284,114.28571428571429,2.794285714285714,1.7142857142857142,2.857142857142857,1.4285714285714286,2.0,8.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.8571428571428571,35.07322660098571,1.1257142857142857,0.0,97.71428571428571,-2.446571749965714
25.2,70.6,59.336701919999996,146.26999999999998,12.8,3.2,101.2,2.952,1.8,3.0,2.0,2.8,9.6,0.2,0.6,0.0,0.0,0.8,25.49335057472,1.182,0.0,88.0,-2.2226410083140005
19.2,72.0,42.674,148.53199999999998,13.2,3.0,107.6,2.82,1.8,3.4,2.0,0.0,7.2,0.2,1.4,0.0,0.0,1.6,29.503500000000003,0.2914,0.0,65.8,-1.0621075722499995
11.11111111111111,77.11111111111111,23.514422222222223,167.2111111111111,14.222222222222221,2.3333333333333335,81.44444444444444,3.0744444444444445,2.0,3.3333333333333335,0.0,0.0,5.333333333333333,0.0,2.0,0.0,0.0,2.0,15.377500000000001,1.4304444444444444,0.0,76.11111111111111,-1.667705362936296
23.6,90.6,56.63872256,162.922,16.4,2.8,74.8,3.65,2.0,4.4,2.0,2.8,11.2,0.0,1.6,0.0,0.0,1.6,13.388,1.576,0.0,57.0,-2.2221744109519994
11.0,54.75,22.50078373,247.83375,10.25,2.625,113.5,2.2350000000000003,1.625,2.375,0.0,0.0,4.0,0.375,1.375,0.0,0.0,1.75,20.4252641368875,0.478375,0.0,99.375,-2.233169644430803
8.857142857142858,71.28571428571429,17.73117142857143,213.32857142857142,13.142857142857142,2.2857142857142856,86.0,2.7485714285714287,2.0,2.5714285714285716,0.0,0.0,4.571428571428571,0.0,2.5714285714285716,0.0,0.0,2.5714285714285716,18.05464285714286,5.517428571428572,0.0,198.42857142857142,-0.4833971627542845
21.0,71.1,50.32233824,219.77100000000002,3.4,2.7,94.0,1.8010000000000002,1.2,0.2,1.0,1.4,3.8,0.8,1.0,0.0,0.0,1.8,31.461000000000002,4.711799999999999,0.0,204.1,-0.19560979675820675
14.0,63.7,32.182985168,199.158,2.2,2.4,96.1,1.732,1.1,0.1,0.0,0.0,1.2,0.9,0.5,0.0,0.0,1.4,31.69433333333,4.711799999999999,0.0,207.6,-0.30538442825820694
13.6,70.0,29.072995776,244.81,12.8,2.6,91.8,2.904,1.8,3.0,2.0,0.0,6.8,0.2,0.6,0.0,0.0,0.8,14.46516666666,1.182,0.0,93.6,-2.7886972357139994
20.0,80.875,46.25342739999999,228.26,14.75,2.875,87.0,3.34125,2.0,4.0,1.25,0.0,7.25,0.0,1.25,0.0,0.0,1.25,19.39,1.4775,0.0,57.5,-3.4223809021425002
8.0,62.0,16.4820405,224.2725,11.5,2.25,94.25,2.3125,1.75,2.25,0.0,0.0,4.0,0.25,2.25,0.0,0.0,2.5,17.175267857125,3.62475,0.0,154.75,-1.0020215262495231
20.857142857142858,82.57142857142857,50.288475600000005,247.0,15.0,2.7142857142857144,76.85714285714286,3.608571428571428,2.0,4.285714285714286,0.14285714285714285,0.42857142857142855,6.857142857142857,0.0,0.8571428571428571,1.2857142857142858,1.5714285714285714,3.7142857142857144,11.18142857142857,1.6885714285714286,0.0,21.857142857142858,-3.713239014948571
17.714285714285715,80.71428571428571,38.403371428571425,216.81428571428572,14.571428571428571,2.857142857142857,90.0,2.718571428571429,2.0,2.5714285714285716,4.285714285714286,0.0,8.857142857142858,0.0,2.5714285714285716,0.0,0.0,2.5714285714285716,12.584999999999999,0.0,0.0,52.857142857142854,-2.1857317757142853
5.5,44.0,11.4702,254.245,8.5,2.0,97.0,2.21,1.5,2.0,0.0,0.0,3.5,0.5,1.0,0.0,0.0,1.5,12.84916666665,0.0,0.0,120.5,-1.650783011458333
16.5,62.3,36.376078848,312.779,11.3,2.9,108.0,2.8280000000000003,1.7,3.0,0.6,0.0,5.3,0.3,0.6,0.4,0.0,1.3,27.96633333333,1.182,0.21106628,100.6,-3.017248707714
12.9,62.1,27.102178848,317.59299999999996,11.3,2.7,104.6,2.8280000000000003,1.7,3.0,0.6,0.0,5.3,0.3,0.6,0.4,0.0,1.3,24.44316666667,1.182,0.21106628,100.6,-3.0204814228139996
32.666666666666664,72.77777777777777,76.19210042222223,248.15444444444444,13.11111111111111,4.0,138.44444444444446,2.5411111111111113,1.7777777777777777,3.5555555555555554,1.1111111111111112,1.5555555555555556,8.0,0.2222222222222222,1.1111111111111112,0.0,0.0,1.3333333333333333,45.18055555555556,1.662,0.0,118.55555555555556,-1.7319874372691189
29.0,63.25,68.8701,255.7825,11.5,3.5,120.0,2.33,1.75,2.25,2.5,3.5,10.0,0.25,2.25,0.0,0.0,2.5,29.556666666675,0.0,0.0,111.75,-1.3995843738750002
19.5,91.0,44.6888024,266.07,16.5,2.75,77.5,3.4974999999999996,2.0,4.5,2.5,0.0,9.0,0.0,1.5,0.0,0.0,1.5,15.170625,1.4775,0.0,52.75,-2.7093042833925
29.0,83.5,67.3547,279.94,15.0,3.5,102.5,2.7,2.0,3.0,5.0,0.0,10.0,0.0,3.0,0.0,0.0,3.0,21.195,0.0,0.0,76.5,-1.645986555625
15.6,81.6,33.97462,292.476,14.8,2.6,82.8,3.058,1.8,3.0,2.0,0.0,6.8,0.2,1.8,0.0,0.0,2.0,11.68275,1.2874,0.0,91.0,-0.7690710308926662
33.5,63.5,80.462475,249.76500000000001,11.5,3.75,124.25,2.33,1.75,2.25,2.5,3.5,10.0,0.25,2.25,0.0,0.0,2.5,33.960625,0.0,0.0,111.75,-1.3319647274999995
14.0,48.0,29.221384640000004,271.235,9.0,3.0,134.0,2.045,1.5,2.5,0.0,0.0,4.0,0.5,0.5,0.0,0.0,1.0,26.87041666665,1.2465,0.0,146.5,-2.1050868141300003
21.555555555555557,69.44444444444444,51.882504866666665,303.18222222222226,2.0,2.6666666666666665,90.0,1.8955555555555559,1.0,0.0,1.0,1.5555555555555556,3.5555555555555554,1.0,0.0,0.1111111111111111,0.0,1.1111111111111112,31.804444444444446,5.235333333333333,0.0,205.22222222222223,-0.4796290563980076
9.636363636363637,47.72727272727273,21.496545454545455,313.2936363636363,9.090909090909092,2.272727272727273,100.81818181818181,2.1954545454545453,1.5454545454545454,2.090909090909091,0.9090909090909091,0.0,4.545454545454546,0.45454545454545453,1.1818181818181819,0.0,0.0,1.6363636363636365,14.550151515136365,0.0,0.0,124.63636363636364,-2.205158625871213
